rank,article_id,category,total_score,keyword_score,company_score,competitor_score,funding_score,title,recommendation_reason,date,source_name,source_url,company_tag,keywords,data_origin
11,CLN-0075,competitor,47.4,21.0,8.4,18.0,0,"바이슨, 'AW 베트남 2026'서 AI 머신비전 솔루션 선봬 - 머니투데이","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2026-09-17,mt.co.kr,https://news.google.com/rss/articles/CBMickFVX3lxTE5VcmtpQnR4MEpCWkxzeUNvRVVvLTJ4cmoyQUFJQllYc21rRHg1dkZ5YVlyTlJYUUtmUlQwUnNtTDFuOE5uQmtXVVNJWFRZcmRHdlpyclh6VEwzcVlWT1h5ZVZIRk5pUzNDVGhucTFKSzdRd9IBckFVX3lxTE5VcmtpQnR4MEpCWkxzeUNvRVVvLTJ4cmoyQUFJQllYc21rRHg1dkZ5YVlyTlJYUUtmUlQwUnNtTDFuOE5uQmtXVVNJWFRZcmRHdlpyclh6VEwzcVlWT1h5ZVZIRk5pUzNDVGhucTFKSzdRdw?oc=5,,AI|머신비전,live_crawled
12,CLN-0076,competitor,47.4,21.0,8.4,18.0,0,"바이슨, 'AW 베트남 2026'서 AI 머신비전 솔루션 선봬","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2026-09-17,supple.kr,https://news.google.com/rss/articles/CBMiXEFVX3lxTE1VZjEteWlhQmV3TzZ5Z2trbUgyS0JMMUYyQ0o4RHdSZHpkR2ZhV0JWNzd5YWpqRkhaaGl5QW5VcE1BNk5DWmFhMDhqLVJVWm1SNEZBWmdXQ3VYM1p2?oc=5,,AI|머신비전,live_crawled
13,CLN-0139,competitor,47.4,21.0,8.4,18.0,0,[헬로머신비전] AI 기반 3D 비전 솔루션으로 한국 시장 공략 ‘시동’ 건 메크마인드,"[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2025-03-26,헬로티,https://news.google.com/rss/articles/CBMiYEFVX3lxTE5qVkxqU2htUV9ENlVaTVJiZGNVdkhTLWxPZ1lFQ2EwZkNLeWU1ZFFwYkhTTTdYQnYwa1g0ZHdMakd6clBOdmZ0c2VXZEdJWmZ3SW5hSE43b3lCMExKTEI2aA?oc=5,,AI|머신비전,live_crawled
14,CLN-0138,competitor,47.4,21.0,8.4,18.0,0,"산업 특화 AI 머신비전 기업 세이지, AW 2025 참가","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2025-03-10,뉴스와이어,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9iVHVBQVgxeWVlZ0hlcjVSZWowaEdpMlBDTDh0RHBaWUxkTFZvcERybmQ3cG00MlpvYlhvbkpyaFE5bWdsR0ZXMkZUZHNLMXU2M2lCTlJfRjZRdzdnTDBz?oc=5,,AI|머신비전,live_crawled
15,CLN-0140,competitor,47.4,21.0,8.4,18.0,0,"어드밴텍, 美 이미지 및 AI 머신비전 솔루션 기업 '비트플로우' 인수...글로벌 네트워크와 AI 이미지 처리 솔루션 강화","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2023-09-08,인공지능신문,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE53VWNuVUpDNHRKS09Nc2Q4dGtrcVN0S1paa2M5U3FCa081cW1rMGNyZ1hKdVZybnc0dXhzbm1JQ0dYZFFWR3JmcXNlbERHQUc2VmthR2RXLTgxZlRISzhaWmd6NUQ2R0k?oc=5,,AI|머신비전,live_crawled
16,CLN-0142,competitor,45.4,18.0,15.4,12.0,0,스마트팩토리 실현에 한 걸음! AI 머신 비전 검사 장비,"[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2024-11-16,YTN 사이언스,https://news.google.com/rss/articles/CBMif0FVX3lxTE5IUndIcVN3WUNRUEJXT0VsS0IzWDFqX2laUUF1UmdBVFlQSDUzSGRUT3U2RFpxS0ZLT0s3TXhTWGRIVEFETEtDNDhkZTFqSE4wcHlRRnM0X1ozOHdHNXFwaFlSd2RuWmhEZHZzdW90LUUtLTVBcGl4Q3h0RGZVN3M?oc=5,,AI|스마트팩토리,live_crawled
17,CLN-0126,competitor,43.8,15.0,16.8,12.0,0,"한울반도체, 30년 머신비전 기술력 담은 '하와이' 출시","[기술동향 분석] 반도체/전자부품 공정 특화 비전 모델 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2025-09-02,딜사이트,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBuSXNQX1ZCaVQ5OVJGbF9tV1BXS01jcGxZcnZYZ0VjV2tBaDFFYzZiaHZsd3B6SUY2U1BUeTNjakFpN0ZsN3ZRQlNpNlp4b3c?oc=5,,머신비전,live_crawled
18,CLN-0145,competitor,43.8,15.0,16.8,12.0,0,"머신비전, 반도체-2차전지와 동반 성장한다","[기술동향 분석] 반도체/전자부품 공정 특화 비전 모델 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2024-02-26,테크월드,https://news.google.com/rss/articles/CBMiaEFVX3lxTE9nX2tIXzYzc1FNUFNFd1hVQzdraV84S28yXzEzLW9sNkxFR29kQUdRQURpdFRoYmRKM2JBcjhpaVFOZHdlajhVaVF6Ulc1WDQ0aDlHR3VPNTVYMFJGU2hGVVV6SnRWeDBy?oc=5,,머신비전,live_crawled
19,CLN-0100,competitor,42.4,15.0,15.4,12.0,0,"[AW 2026] 비투에스, PCB 검사용 머신비전 하드웨어 솔루션 출품","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2026-03-08,헬로티,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBKb01SWTFlU2xPejZZclFHOFpQcWVXWnRxcW5CSmVHLVNzZTJFT1VvZUd2czZNd1p0SkhhclM5QmdjQUZzaVV0bkFOZEJpMlU4S0dGcmJFRjlOZDRla2sw?oc=5,,머신비전,live_crawled
20,CLN-0098,competitor,42.4,15.0,15.4,12.0,0,"[포토] 다이트론코리아, 고해상도 머신비전 카메라로 정밀 검사 솔루션 제시","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2026-03-04,인더스트리뉴스,https://news.google.com/rss/articles/CBMickFVX3lxTE9PR3VLdjAtaUtoVjFVbkRBSUNXOFZWTDFGdjk2azc2dFRsWUhwZzFYTjlvVzZzT3hVVEtTYmR5cE16MV9RaTZBOHdiTG96cnllbFVkN0pLUUE4dnFnLVlaaG4zTmdYRzJyYU12X1M1WWwwdw?oc=5,,머신비전,live_crawled
21,CLN-0546,funding,42.0,16.0,0,6.0,20.0,스마트공장사업관리시스템스마트공장 시스템 사업 정보 제공,"[정부지원/사업화] 스마트팩토리 보급확산 솔루션 연계 정보로, NovaFactory AI의 타깃 고객사인 중소·중견 공장의 구축 비용 부담을 경감하고 도입 계약을 가속화할 기회입니다.",2026-09-19,K-Startup 창업진흥원,https://www.k-startup.go.kr/magicsso/requestAuthEx.jsp?RelayState=https://www.smart-factory.kr/magicsso/requestConnect.jsp,,창업지원|AI 바우처|사업화 자금,live_crawled
22,CLN-0128,competitor,41.8,6.0,23.8,12.0,0,피아이이 “반도체·유리기판으로 AI 비전검사 솔루션 확대”,"[기술동향 분석] 반도체/전자부품 공정 특화 비전 모델 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2025-01-06,전자신문,https://news.google.com/rss/articles/CBMiTkFVX3lxTE42dzRMUXpjWGFBRUNLTG5lNlVIbHFoM0R6T3d0YkdpVTExUmIzTVU4M3Q0MEhFNTN6Y0ZfdWE4blFRZXJ5ME9YZUwybEVHQQ?oc=5,,AI,live_crawled
23,CLN-0074,competitor,41.4,21.0,8.4,12.0,0,"바이슨, AI 머신비전 기술로 베트남 제조시장 공략","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2026-09-17,인더스트리뉴스,https://news.google.com/rss/articles/CBMickFVX3lxTE1GNjI1TUgwcEJ6V0tMLVNka0hkX2t6QmZlTWRWNksyd05RV05sWDNlTnpPZUZvenBlNzFFY0MySVZJMDRxTDdMR3NRdnoyR3NFTW5Ca3dmWXdBS1NCTFBYa0o4Z0VSdDJ1N1dTVUFrY0pMdw?oc=5,,AI|머신비전,live_crawled
24,CLN-0087,competitor,41.4,21.0,8.4,12.0,0,"AI·2.5D·3D 머신비전 최신 트렌드 공개… 크로스오버텍, 27일 코엑스서 기술 세미나 개최","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2026-05-21,FA저널,https://news.google.com/rss/articles/CBMia0FVX3lxTE9uUm9NLUl2OXdSQWhBblhZSDl3elROeGVxaVA5RVltMVRDc2hfNjR1YkhGaF9ydHBoZGFHV2diNVBFM0tQeFhTazJLcmRfcjV2STYtS1FFTl9ZSkdLNXpNOHNZR191TkwxS24w?oc=5,,AI|머신비전,live_crawled
25,CLN-0104,competitor,41.4,21.0,8.4,12.0,0,"에버레, AI 머신비전 로봇으로 치즈 숙성 자동 품질관리","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2026-03-18,헬로티,https://news.google.com/rss/articles/CBMiYkFVX3lxTE9iX2t1amdacWlTMTF4dHhiVmQxSGYzaTFjNmJ5U0RubDBxT1lHR0xDSk9INVdRZXVDUE9ob1llVGlZeC12dUZ6dU10WnhwcnM1dW5oUm1KVlpQNFU3clprNXFB?oc=5,,AI|머신비전,live_crawled
26,CLN-0096,competitor,41.4,21.0,8.4,12.0,0,"(4-2)'AW 2026'--AI 머신비전, 제조 품질 관리 핵심으로","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2026-03-09,애플경제,https://news.google.com/rss/articles/CBMicEFVX3lxTFBlZWt6MzBmUDZMa0JhVHBKSmdSYkhIQWc2dldocmxCTnBxRFN3Rk5oSnhzR2t2QUlVeVJYODJFLXhjdlVQejkzV2VKUHAxMlZyOFN5X09ySXk3QnhFYjhFQ0o2ZkRRLWJYYS1rR2hoZnk?oc=5,,AI|머신비전,live_crawled
27,CLN-0141,competitor,41.4,21.0,8.4,12.0,0,"[헬로머신비전] 에프에이플러스, AI 딥러닝 머신비전으로 글로벌 제조 혁신의 선봉에 서다","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2025-08-14,헬로티,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1zcjhJaVhLdFcwUklYSlBWX2RIWTdDSnNjSjRRU0E5RjlTYWt0cGNTRDN6TDZYR3ViNk1GdllrQXdnN0RzVTg2NnZVa0NpbmJqYlN6M3JvMEdpYVBDVlE4?oc=5,,AI|머신비전,live_crawled
28,CLN-0164,competitor,41.4,15.0,8.4,18.0,0,"[AW 2025]Shenzhen Dehong Vision, 산업용 머신비전 솔루션으로 한국 시장 공략 본격화","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2025-03-22,산업일보,https://news.google.com/rss/articles/CBMiREFVX3lxTFBsVVFadVdnWFBRd1lIdGcwekx5QmpuOXA1TWpQRk9HRHpMMnQyemNqVGlxRldWRzA5c1lxU0o1WTNnU1I0?oc=5,,머신비전,live_crawled
29,CLN-0160,competitor,41.4,21.0,8.4,12.0,0,"[In터뷰] 호두에이아이랩, 원천기술 접목한 머신비전 플랫폼 ‘HAIVIS’ 제공… “업계 내 적용 확대 중”","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2024-05-09,인더스트리뉴스,https://news.google.com/rss/articles/CBMickFVX3lxTE5pN1JPNFZRaHVIWVMzSHFZb3B2TGdZVnRzdC02ek14U3Z3R2dMRW0tWnUtWHk1dU1vVEFITDkzeWxWRU1RZ3V2SE9TSC1VZFBCLVZPdloydWx3WHpEMmprTnJTQVpncTdESzFzZ2R5TEtfZw?oc=5,,AI|머신비전,live_crawled
30,CLN-0026,market,41.2,30.0,0,0,11.2,"경남도, ‘제조 AX’ 속도 낸다… 올해 AI 스마트공장 281개 추가 구축","[시장 동향 파악] 제조업 AI 비전 도입 수요와 스마트팩토리 전환 흐름을 보여주는 기사로, 반도체·전자부품 제조 공정 영업 파이프라인 확장 및 시장 포지셔닝에 기여합니다.",2026-03-17,기계신문,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5hUml2R0tDQy1ZQ0xZOXkwYjB1UW5OVWRYVEJrS24yalJ4NjBOakxkdGxvWGRPVWFRNXJnZFlhMmZITkF6bWRpU3B3SkVVWUJsX1ZqWkxJcFp0bEx3MmI2R1d5RmlISWc?oc=5,,AI|제조 AX|스마트공장,live_crawled
